token,τ,dx,dy
allah,1,-0.05195389315485954,-0.06776620773598552
allah,1,0.1706711172591895,0.021714795380830765
allah,1,-0.06049817427992821,-0.05328005366027355
allah,1,0.01047096960246563,0.04578709602355957
allah,3,-0.11578167043626308,-0.0045240409672260284
allah,5,0.0013758856803178787,0.03972964081913233
allah,5,0.012895886786282063,0.04845942836254835
allah,5,0.13972247391939163,-0.06566948816180229
allah,5,-0.12365739233791828,0.14016140718013048
allah,7,0.11611004918813705,-0.05540571466553956
allah,7,-0.12541206367313862,0.012557413429021835
allah,15,0.08917851187288761,-0.0821993239223957
allah,15,-0.09688199311494827,-0.1154365986585617
allah,17,-0.013331357389688492,0.0778032373636961
allah,19,0.0013758856803178787,0.03972964081913233
allah,19,0.02896096371114254,0.12295135483145714
allah,21,0.11611004918813705,-0.05540571466553956
allahumma,1,0.05258299084380269,0.03995820786803961
allahumma,3,-0.05418965872377157,-0.02984104212373495
allahumma,3,0.04544837586581707,-0.011667244136333466
allahumma,15,-0.03271095082163811,-0.08054351434111595
allahumma,17,0.020844215527176857,0.00544101744890213
allow,13,-0.03162002190947533,0.00181609857827425
allow,15,-0.002927146852016449,0.0953986831009388
allow,19,0.08983676694333553,0.01618950068950653
allow,21,-0.08434957452118397,-0.0812822449952364
allow,23,0.0026645148172974586,-0.025999746285378933
allows,9,0.11786263063549995,-0.0296283564530313
allows,9,-0.007992296479642391,-9.747734293341637e-05
allows,9,-0.08960315119475126,0.039086326491087675
allows,11,0.062476012855768204,-0.16262193955481052
allows,19,-0.055445631965994835,0.1077220356091857
allows,21,-0.036005327478051186,-0.04956057574599981
allows,23,0.06690027331933379,-0.010997087694704533
allows,23,-0.0702004749327898,0.08180333953350782
allows,23,0.1471933238208294,0.026523778215050697
also,5,-0.07597022224217653,-0.09134523943066597
also,7,0.09672361053526402,0.04351990344002843
also,9,-0.09148202510550618,0.07882651407271624
also,10,0.07193892635405064,-0.054103387985378504
also,11,-0.011726517230272293,-0.05845710379071534
also,12,-0.01600663736462593,0.00225172471255064
also,13,-0.15553346648812294,-0.07485373131930828
analysis,7,0.0988705288618803,-0.05669773370027542
analysis,7,-0.05714438296854496,0.1169806681573391
analysis,7,0.18205728009343147,-0.15586114255711436
analysis,9,-0.011899617500603199,0.005260040983557701
analysis,9,-0.154985461384058,-0.008235706947743893
analysis,11,-0.013005574233829975,-0.038282351568341255
analysis,11,-0.016719669103622437,0.04185495898127556
and,0,0.06871982477605343,0.053444419987499714
and,0,0.004974244628101587,0.04841597564518452
and,0,-0.03727640537545085,-0.11900771781802177
and,0,-0.05989513546228409,0.05828999541699886
and,1,0.05541536957025528,0.13848953321576118
and,1,0.01546107791364193,-0.22112826257944107
and,1,0.033345491625368595,0.06049452722072601
and,1,-0.018270619213581085,-0.062398613430559635
and,1,-0.022527310997247696,0.12912191450595856
and,1,-0.03387824539095163,-0.13743163738399744
and,1,0.10215807147324085,0.019521494396030903
and,1,-0.015880079357884824,0.050902318267617375
and,1,-0.06123248301446438,0.0007488112896680832
and,1,-0.08581200428307056,-0.06476254854351282
and,1,0.12495323456823826,-0.05968668032437563
and,1,0.013272862881422043,0.1053101122379303
and,1,-0.07333785481750965,0.16193350218236446
and,1,0.10578178940340877,-0.08551451750099659
and,1,-0.09340110421180725,-0.008357895538210869
and,1,0.051426458172500134,-0.08731707371771336
and,1,-0.1268477514386177,0.02301621623337269
and,1,0.04548150091432035,0.020119095221161842
and,1,0.02669974765740335,0.02545845787972212
and,1,0.09733131248503923,-0.14825830608606339
