cluster,token,τ,Φ,order
0,and,20,0.331113487,6
0,and,20,0.470727921,7
0,and,20,0.418910176,8
0,and,20,0.49352777,9
1,and,27,0.45120731,0
1,and,28,0.377284914,1
1,and,35,0.379611164,2
1,and,36,0.887161076,3
1,and,36,0.945817828,4
1,and,36,0.945817828,5
1,and,36,0.891830087,6
1,and,36,0.945817828,7
1,and,36,0.945817828,8
1,and,36,0.808185816,9
0,appear,228,0.807092607,0
0,appear,228,0.799887121,1
0,appear,231,0.807092607,2
0,appear,231,0.799887121,3
0,appear,232,0.639658272,4
0,appear,232,0.504021168,5
0,appear,262,0.556055963,6
1,appear,230,0.666399181,0
1,appear,230,0.620388091,1
1,appear,230,0.854594707,2
1,appear,230,0.829671919,3
1,appear,236,0.684996605,4
1,appear,236,0.854594707,5
1,appear,236,0.829671919,6
1,appear,242,0.480462879,7
1,appear,273,0.520514071,8
0,append,34,0.805872738,0
0,append,49,0.805872738,1
0,append,51,0.850668788,2
0,append,57,0.757240891,3
0,append,59,0.912617028,4
0,append,73,0.912617028,5
0,append,75,0.912617028,6
1,append,109,0.5855124,0
1,append,242,0.762582481,1
1,append,247,0.651729226,2
1,append,247,0.762582481,3
1,append,249,0.686472535,4
1,append,249,0.75515461,5
1,append,257,0.578603089,6
1,append,257,0.829934359,7
1,append,287,0.889691114,8
1,append,289,0.889691114,9
0,are,52,0.798685193,0
0,are,52,0.873454869,1
0,are,52,0.873454869,2
0,are,52,0.873454869,3
0,are,52,0.798685193,4
0,are,281,0.544243991,5
1,are,20,0.823935866,0
1,are,20,0.846851051,1
1,are,25,0.794983089,2
1,are,52,0.820709288,3
1,are,52,0.846851051,4
1,are,56,0.794983089,5
2,are,23,0.622773647,0
2,are,52,0.50649339,1
2,are,52,0.740494072,2
2,are,262,0.950393736,3
2,are,262,0.672834218,4
2,are,292,0.950393736,5
2,are,292,0.950393736,6
2,are,292,0.950393736,7
3,are,52,0.788774371,0
3,are,52,0.859392226,1
3,are,52,0.87722069,2
3,are,52,0.822532654,3
3,are,52,0.859392226,4
3,are,52,0.696539283,5
3,are,52,0.822532654,6
3,are,52,0.525761664,7
3,are,52,0.859392226,8
3,are,52,0.87722069,9
4,are,52,0.848379135,0
4,are,52,0.743296981,1
4,are,52,0.794711471,2
4,are,52,0.795945585,3
4,are,52,0.736300528,4
4,are,52,0.797972143,5
5,are,26,0.53831774,0
5,are,52,0.548404872,1
5,are,52,0.55784905,2
5,are,52,0.374922186,3
5,are,52,0.366882384,4
5,are,52,0.584359169,5
5,are,52,0.584359169,6
5,are,52,0.634886444,7
5,are,52,0.677041471,8
5,are,52,0.638848066,9
6,are,52,0.51276499,0
6,are,272,0.809016287,1
6,are,273,0.74443835,2
6,are,273,0.841626048,3
6,are,274,0.770322204,4
6,are,275,0.775500834,5
6,are,275,0.777729034,6
0,ask,52,0.623583674,0
0,ask,52,0.641133785,1
0,ask,52,0.657471716,2
0,ask,52,0.624742985,3
0,ask,52,0.460773319,4
0,ask,52,0.623381972,5
0,ask,206,0.58655709,6
1,ask,52,0.731749415,0
1,ask,52,0.661546052,1
1,ask,52,0.786254823,2
1,ask,52,0.565677404,3
1,ask,52,0.851540744,4
1,ask,52,0.851540744,5
1,ask,52,0.684023619,6
